Source sentence,Answer sentence,Event1,Event2,labels
"The site manager at the Waitrose supermarket in Wellington that has been damaged by fire , says it will take a couple of days to assess how much work needs to be done . ",assess have no relationship to says ,assess ,says ,NONE
"A Brooklyn woman who claims she had a “ bird ’ s - eye view ” of the fatal police shooting of 16 - year - old Kimani ( Kiki ) Gray says the youth did not have a gun in his hand . Brooklyn riot over teen's death : 16 - year - old shot by cops did not have a gun , says witness ",shooting is the cause of riot ,shooting ,riot ,Cause-Effect
"A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",sentenced is the cause of fleeing ,sentenced ,fleeing ,Cause-Effect
A fired accountant accused of wounding two former bosses in a shotgun attack and killing a receptionist who tried to stop him was arraigned Wednesday on murder and other charges . ,stop have no relationship to tried ,stop ,tried ,NONE
"A Norwalk Superior Court judge on Thursday upheld a jury's recommendation that convicted cop killer Jose Luis Orozco die for his crimes . Judge Philip Hickok told a packed courtroom that he weighed all the aggravating factors and mitigating circumstances in the ambush slaying of Los Angeles County Sheriff's Deputy Jerry Ortiz in June 2005 , and he concluded that the case ""absolutely warrants death instead of life without parole . "" ",crimes is the cause of death ,crimes ,death ,Cause-Effect
"A series of aftershocks have hit the island since it was first rocked by a magnitude - 5 . 9 earthquake early Sunday afternoon . The new death toll came after the bodies of two more victims were found in the village of Ziranag which is one of the 12 worst - hit villages in the quake , Qeshm Governor Heydar Alishvandi said . ",earthquake have no relationship to came ,earthquake ,came ,NONE
"Williams' DUI arrest just the latest for Chargers Arrested by the CHP on suspicion of drunken driving , he was booked into county jail and later released on bond . ",latest is the cause of drunken driving ,latest ,drunken driving ,Cause-Effect
"Prosecutors say Andrew Lopez , 20 , an alleged 8 Block gang member fired the shots meant for rival gang members from the Howard Projects while his brother Jonathan Carrasquillo , 24 , gave the orders . Lopez told police he was aiming for rival gang members when a stray bullet hit the mother of 13 who was collecting her children from school . ",say have no relationship to collecting ,say ,collecting ,NONE
John Jenkin also faces an animal cruelty charge after the family's dog was also found beaten to death . The case continued in his absence and a three day trial hearing was penciled in for October - the 23 - year old's due to enter his plea in September . ,faces have no relationship to trial ,faces ,trial ,NONE
"After skipping out on entering a Newport Beach rehabilitation facility and facing the prospect of arrest for violating her probation , Lindsay Lohan has checked into the Betty Ford Center to begin a 90 - day court - mandated stay in her reckless driving conviction . ",arrest is the cause of checked into ,arrest ,checked into ,Cause-Effect
"Texas Lifer Escapes Prison Van Near Houston The escape happened near Baytown , Texas , about 25 miles east of Houston , it said . ",Escapes is the cause of escape ,Escapes ,escape ,Cause-Effect
"Philadelphia is certainly banking on the former point guard to have a happier homecoming than O'Brien , a Philadelphia native who played for Saint Joseph's . But Cheeks' return to the city where he was a four - time All - Star shouldn't come as a surprise . ",homecoming is the cause of surprise ,homecoming ,surprise ,Cause-Effect
A 911 caller reported the fire at 3 : 33 a . m . ,fire is the cause of reported ,fire ,reported ,Cause-Effect
"Tehran's seismologic center said the quake measured magnitude - 5 . 9 , but the U . S . Geological Survey in Golden , Colo . , said it was a magnitude - 6 . 1 temblor . An earthquake measuring at least magnitude - 5 . 9 shook a sparsely populated area of southern Iran on Sunday , flattening seven villages and killing 10 people , officials said . ",temblor is the cause of flattening ,temblor ,flattening ,Cause-Effect
"Philadelphia 76ers Fire Coach Jim O'Brien , Hire Maurice Cheeks Also today , Philadelphia 76ers President and General Manager Billy King announced that Maurice Cheeks has been hired as the 21st head coach of the Philadelphia 76ers . ",Fire is the cause of hired ,Fire ,hired ,Cause-Effect
"Two accused gangbangers went on trial Wednesday for tragically killing a mother of 12 as they were spraying bullets from a Brooklyn rooftop . Zurana Horton was killed when the accused thugs Andrew Lopez , 20 and Jonathan Carrasquillo , 24 , were spraying bullets from a rooftop in Brownsville , Brooklyn and one richocheted off a wall . ",killing is the cause of accused ,killing ,accused ,Cause-Effect
"The Ukrainian champion dropped Thompson again in the sixth , and referee Sam Williams gave the challenger a standing count before stopping the fight . Wladimir Klitschko stops Tony Thompson in 6th round to retain world heavyweight titles ",stopping have no relationship to round ,stopping ,round ,NONE
"Mich . accountant charged with murder in office shootings Steinberg , a partner in the firm , told police LaCalamita loaded a shell into the shotgun's chamber and shot him in the hip , then walked toward the office of Paul Riva , another partner . ",shootings have no relationship to walked ,shootings ,walked ,NONE
"A 35 - year - old sheriff ’ s deputy working with an anti - gang unit was killed Friday when he knocked on the door of a home and someone shot him in the head , authorities said . ",working is the cause of killed ,working ,killed ,Cause-Effect
