Source sentence,Answer sentence,event1,event2,label,type
" causal </s></s> unrelated </s></s> Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . ",agreed is the cause of remain ,agreed ,remain ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",treatment is the cause of checked into ,treatment ,checked into ,Cause-Effect,intra
 causal </s></s> unrelated </s></s> Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . Lawyer : Lindsay Lohan checks into California rehab ,shopping is the cause of checks into ,shopping ,checks into ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . ",treatment is the cause of entered ,treatment ,entered ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . “ She ’ s in rehab right now . ,settling in is the cause of rehab ,settling in ,rehab ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . ,settling in is the cause of stay ,settling in ,stay ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . “ My client is ensconced in the bosom of that facility right now , ” Heller argued after a prosecutor objected to Lohan ’ s choice of facilities . ",settling in is the cause of objected ,settling in ,objected ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> “ She ’ s in rehab right now . Lawyer : Lindsay Lohan checks into California rehab ,rehab is the cause of checks into ,rehab ,checks into ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",settling in is the cause of treatment ,settling in ,treatment ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . “ My client is ensconced in the bosom of that facility right now , ” Heller argued after a prosecutor objected to Lohan ’ s choice of facilities . ",settling in is the cause of ensconced ,settling in ,ensconced ,Cause-Effect,inter
